user_id,login_ip,action_time,month_year,action,doc_type,doc_id
14,49.45.132.3,"2018-01-04 18:03:17",01-2018,Login,U,14
57,49.45.132.3,"2018-01-04 18:05:04",01-2018,"File Receive",F,2088
14,49.45.132.3,"2018-01-04 18:06:36",01-2018,"Log Out",U,14
22,49.45.132.3,"2018-01-04 18:08:15",01-2018,Login,U,22
22,49.45.132.3,"2018-01-04 18:10:17",01-2018,"File Receive",F,1155
19,117.248.151.7,"2018-01-04 18:12:50",01-2018,"Log Out",U,19
22,49.45.132.3,"2018-01-04 18:21:15",01-2018,"File Dispatch",F,1155
22,49.45.132.3,"2018-01-04 18:21:58",01-2018,"Log Out",U,22
152,49.45.132.3,"2018-01-04 18:22:47",01-2018,Login,U,152
152,49.45.132.3,"2018-01-04 18:24:49",01-2018,"File Receive",F,1155
1,117.194.35.94,"2018-01-04 18:29:48",01-2018,Login,U,1
152,49.45.132.3,"2018-01-04 18:29:58",01-2018,"File Dispatch",F,1155
152,49.45.132.3,"2018-01-04 18:30:40",01-2018,"Log Out",U,152
14,49.45.132.3,"2018-01-04 18:32:36",01-2018,Login,U,14
14,49.45.132.3,"2018-01-04 18:37:33",01-2018,"Letter Attach To File",F,660
14,49.45.132.3,"2018-01-04 18:40:51",01-2018,"File Dispatch",F,660
14,49.45.132.3,"2018-01-04 18:41:32",01-2018,"Log Out",U,14
12,49.45.132.3,"2018-01-04 18:41:33",01-2018,"File Dispatch",F,567
57,49.45.132.3,"2018-01-04 19:12:23",01-2018,"File Dispatch",F,780
57,49.45.132.3,"2018-01-04 19:18:12",01-2018,"File Dispatch",F,115
19,49.45.132.3,"2018-01-05 10:15:49",01-2018,Login,U,19
151,117.248.150.133,"2018-01-05 10:28:46",01-2018,Login,U,151
67,117.223.219.18,"2018-01-05 10:41:30",01-2018,Login,U,67
64,49.45.132.3,"2018-01-05 10:42:00",01-2018,Login,U,64
67,117.223.219.18,"2018-01-05 10:43:55",01-2018,"File Receive",F,600
67,115.187.63.117,"2018-01-05 10:44:34",01-2018,Login,U,67
60,117.248.150.133,"2018-01-05 10:44:49",01-2018,Login,U,60
67,49.45.132.3,"2018-01-05 10:46:05",01-2018,"Log Out",U,67
63,115.187.63.117,"2018-01-05 10:46:20",01-2018,Login,U,63
67,117.223.219.18,"2018-01-05 10:46:37",01-2018,"File Dispatch",F,600
67,117.223.219.18,"2018-01-05 10:49:13",01-2018,"Log Out",U,67
98,59.90.250.144,"2018-01-05 10:49:34",01-2018,Login,U,98
63,117.194.43.237,"2018-01-05 10:49:59",01-2018,Login,U,63
61,117.223.219.18,"2018-01-05 10:54:45",01-2018,Login,U,61
60,117.223.219.18,"2018-01-05 10:57:17",01-2018,Login,U,60
58,117.223.219.18,"2018-01-05 10:58:59",01-2018,Login,U,58
60,117.223.219.18,"2018-01-05 10:59:20",01-2018,"File Receive",F,600
98,59.90.250.144,"2018-01-05 10:59:27",01-2018,"Add Notesheet",F,447
98,49.45.132.3,"2018-01-05 11:00:46",01-2018,Login,U,98
98,49.45.132.3,"2018-01-05 11:01:15",01-2018,Login,U,98
60,117.223.219.18,"2018-01-05 11:01:21",01-2018,"File Dispatch",F,600
98,49.45.132.3,"2018-01-05 11:02:33",01-2018,Login,U,98
58,117.223.219.18,"2018-01-05 11:02:43",01-2018,"File Receive",F,41
58,117.223.219.18,"2018-01-05 11:05:52",01-2018,"File Dispatch",F,41
60,117.248.150.133,"2018-01-05 11:07:08",01-2018,"Log Out",U,60
19,117.248.150.133,"2018-01-05 11:07:26",01-2018,Login,U,19
7,117.248.151.45,"2018-01-05 11:07:52",01-2018,Login,U,7
98,115.187.63.117,"2018-01-05 11:08:28",01-2018,"Letter Attach To File",F,784
58,117.223.219.18,"2018-01-05 11:08:46",01-2018,"File Receive",F,824
63,49.45.132.3,"2018-01-05 11:08:51",01-2018,"File Receive",F,488
19,117.248.150.133,"2018-01-05 11:09:13",01-2018,Login,U,19
94,115.187.63.117,"2018-01-05 11:09:55",01-2018,Login,U,94
136,117.194.205.174,"2018-01-05 11:10:07",01-2018,Login,U,136
63,49.45.132.3,"2018-01-05 11:11:20",01-2018,"File Dispatch",F,488
19,115.187.63.117,"2018-01-05 11:11:31",01-2018,"Letter Attach To File",L,20591
98,49.45.132.3,"2018-01-05 11:12:21",01-2018,"Letter Attach To File",F,784
56,49.45.132.3,"2018-01-05 11:12:28",01-2018,Login,U,56
58,117.223.219.18,"2018-01-05 11:12:32",01-2018,"File Dispatch",F,824
103,49.45.132.3,"2018-01-05 11:14:00",01-2018,Login,U,103
7,117.248.151.45,"2018-01-05 11:15:01",01-2018,Login,U,7
71,115.187.63.117,"2018-01-05 11:16:27",01-2018,Login,U,71
98,115.187.63.117,"2018-01-05 11:16:41",01-2018,Login,U,98
63,49.45.132.3,"2018-01-05 11:17:05",01-2018,"File Receive",F,1379
60,117.223.219.18,"2018-01-05 11:17:31",01-2018,"Log Out",U,60
63,117.223.219.18,"2018-01-05 11:18:40",01-2018,Login,U,63
71,49.45.132.3,"2018-01-05 11:18:41",01-2018,"File Receive",F,1581
71,49.45.132.3,"2018-01-05 11:20:11",01-2018,"File Dispatch",F,1581
94,49.45.132.3,"2018-01-05 11:21:15",01-2018,Almirah,F,1168
94,115.187.63.117,"2018-01-05 11:21:39",01-2018,Almirah,F,1511
94,115.187.63.117,"2018-01-05 11:22:02",01-2018,Almirah,F,1167
71,115.187.63.117,"2018-01-05 11:22:13",01-2018,"File Receive",F,1587
94,115.187.63.117,"2018-01-05 11:22:22",01-2018,Almirah,F,1681
94,49.45.132.3,"2018-01-05 11:22:48",01-2018,Almirah,F,1398
98,49.45.132.3,"2018-01-05 11:23:05",01-2018,"Log Out",U,98
94,49.45.132.3,"2018-01-05 11:23:11",01-2018,Almirah,F,1104
94,49.45.132.3,"2018-01-05 11:23:38",01-2018,Almirah,F,1367
98,115.187.63.117,"2018-01-05 11:23:44",01-2018,Login,U,98
71,49.45.132.3,"2018-01-05 11:24:06",01-2018,"File Dispatch",F,1587
94,49.45.132.3,"2018-01-05 11:24:09",01-2018,Almirah,F,1169
53,49.45.132.3,"2018-01-05 11:24:21",01-2018,Login,U,53
94,115.187.63.117,"2018-01-05 11:24:30",01-2018,Almirah,F,1269
19,49.45.132.3,"2018-01-05 11:24:44",01-2018,Login,U,19
94,49.45.132.3,"2018-01-05 11:25:05",01-2018,Almirah,F,678
53,115.187.63.117,"2018-01-05 11:25:08",01-2018,"Log Out",U,53
7,117.248.151.45,"2018-01-05 11:25:28",01-2018,"File Receive",F,253
1,59.97.222.109,"2018-01-05 11:25:31",01-2018,Login,U,1
98,49.45.132.3,"2018-01-05 11:26:00",01-2018,"Add Notesheet",F,654
71,115.187.63.117,"2018-01-05 11:26:22",01-2018,"File Receive",F,1601
98,49.45.132.3,"2018-01-05 11:26:54",01-2018,Login,U,98
7,117.248.151.45,"2018-01-05 11:27:46",01-2018,"File Receive",F,198
63,117.223.219.18,"2018-01-05 11:28:06",01-2018,"File Dispatch",F,1379
94,115.187.63.117,"2018-01-05 11:28:06",01-2018,Almirah,F,1273
63,117.223.219.18,"2018-01-05 11:28:51",01-2018,"Log Out",U,63
71,49.45.132.3,"2018-01-05 11:28:52",01-2018,"File Dispatch",F,1601
65,117.223.219.18,"2018-01-05 11:29:16",01-2018,Login,U,65
94,49.45.132.3,"2018-01-05 11:30:15",01-2018,Almirah,F,1549
65,117.223.219.18,"2018-01-05 11:31:33",01-2018,"File Receive",F,268
98,49.45.132.3,"2018-01-05 11:32:33",01-2018,"Letter Attach To File",F,784
98,49.45.132.3,"2018-01-05 11:32:34",01-2018,"File Dispatch",F,769
58,117.223.219.18,"2018-01-05 11:33:06",01-2018,"File Receive",F,1555
98,49.45.132.3,"2018-01-05 11:33:34",01-2018,Login,U,98
65,117.223.219.18,"2018-01-05 11:34:26",01-2018,"File Dispatch",F,268
58,117.223.219.18,"2018-01-05 11:34:49",01-2018,"File Dispatch",F,1555
65,117.223.219.18,"2018-01-05 11:35:08",01-2018,"Log Out",U,65
98,49.45.132.3,"2018-01-05 11:35:12",01-2018,Login,U,98
63,117.223.219.18,"2018-01-05 11:35:54",01-2018,Login,U,63
98,49.45.132.3,"2018-01-05 11:36:11",01-2018,"Letter Attach To File",F,784
94,115.187.63.117,"2018-01-05 11:36:30",01-2018,Almirah,F,1586
58,117.223.219.18,"2018-01-05 11:37:49",01-2018,"File Receive",F,871
64,115.187.63.117,"2018-01-05 11:38:40",01-2018,Login,U,64
63,117.223.219.18,"2018-01-05 11:38:45",01-2018,"File Receive",F,200
53,115.187.63.117,"2018-01-05 11:39:10",01-2018,Login,U,53
94,49.45.132.3,"2018-01-05 11:39:16",01-2018,Almirah,F,1321
98,117.248.150.98,"2018-01-05 11:39:18",01-2018,"Letter Attach To File",F,784
98,115.187.63.117,"2018-01-05 11:39:47",01-2018,"File Dispatch",F,1937
53,115.187.63.117,"2018-01-05 11:39:57",01-2018,"Log Out",U,53
98,49.45.132.3,"2018-01-05 11:40:47",01-2018,"File Dispatch",F,761
53,115.187.63.117,"2018-01-05 11:40:52",01-2018,Login,U,53
53,49.45.132.3,"2018-01-05 11:41:36",01-2018,"Log Out",U,53
58,117.223.219.18,"2018-01-05 11:41:49",01-2018,"File Dispatch",F,871
94,49.45.132.3,"2018-01-05 11:42:02",01-2018,Almirah,F,1512
63,117.223.219.18,"2018-01-05 11:42:54",01-2018,"File Dispatch",F,200
57,115.187.63.117,"2018-01-05 11:43:33",01-2018,Login,U,57
71,115.187.63.117,"2018-01-05 11:43:39",01-2018,Login,U,71
56,49.45.132.3,"2018-01-05 11:43:49",01-2018,"Letter Creation",L,21059
98,49.45.132.3,"2018-01-05 11:44:29",01-2018,"File Dispatch",F,220
56,115.187.63.117,"2018-01-05 11:44:41",01-2018,"Letter Creation",L,21060
56,49.45.132.3,"2018-01-05 11:45:30",01-2018,"Letter Creation",L,21061
71,49.45.132.3,"2018-01-05 11:45:48",01-2018,"File Receive",F,2063
94,49.45.132.3,"2018-01-05 11:46:08",01-2018,Almirah,F,847
98,115.187.63.117,"2018-01-05 11:46:11",01-2018,"Add Notesheet",F,654
98,115.187.63.117,"2018-01-05 11:46:23",01-2018,"Letter Attach To File",F,784
98,115.187.63.117,"2018-01-05 11:46:25",01-2018,"File Dispatch",F,760
71,49.45.132.3,"2018-01-05 11:46:37",01-2018,"Log Out",U,71
57,49.45.132.3,"2018-01-05 11:47:05",01-2018,"File Receive",F,268
5,115.187.63.117,"2018-01-05 11:47:25",01-2018,Login,U,5
53,49.45.132.3,"2018-01-05 11:47:30",01-2018,Login,U,53
63,117.223.219.18,"2018-01-05 11:47:37",01-2018,"Log Out",U,63
60,117.223.219.18,"2018-01-05 11:48:15",01-2018,Login,U,60
98,49.45.132.3,"2018-01-05 11:48:25",01-2018,"File Receive",F,1285
56,49.45.132.3,"2018-01-05 11:48:34",01-2018,"Letter Creation",L,21063
71,115.187.63.117,"2018-01-05 11:48:47",01-2018,"File Dispatch",F,2063
94,115.187.63.117,"2018-01-05 11:49:06",01-2018,Almirah,F,1019
53,115.187.63.117,"2018-01-05 11:49:53",01-2018,"File Receive",F,1532
98,49.45.132.3,"2018-01-05 11:51:01",01-2018,"Letter Attach To File",F,38
98,49.45.132.3,"2018-01-05 11:51:08",01-2018,Almirah,F,1285
25,49.45.132.3,"2018-01-05 11:51:29",01-2018,Login,U,25
94,115.187.63.117,"2018-01-05 11:51:53",01-2018,Almirah,F,1461
53,115.187.63.117,"2018-01-05 11:52:05",01-2018,"File Dispatch",F,1532
57,49.45.132.3,"2018-01-05 11:52:14",01-2018,"File Dispatch",F,268
103,115.187.63.117,"2018-01-05 11:52:18",01-2018,"Letter Attach To File",F,1319
71,115.187.63.117,"2018-01-05 11:52:57",01-2018,Login,U,71
98,115.187.63.117,"2018-01-05 11:53:24",01-2018,"Letter Attach To File",F,38
114,115.187.63.117,"2018-01-05 11:53:57",01-2018,Login,U,114
94,115.187.63.117,"2018-01-05 11:54:00",01-2018,Almirah,F,1805
53,115.187.63.117,"2018-01-05 11:54:21",01-2018,"File Receive",F,800
98,115.187.63.117,"2018-01-05 11:55:47",01-2018,"Letter Attach To File",F,38
71,115.187.63.117,"2018-01-05 11:55:49",01-2018,"File Receive",F,826
7,117.248.151.45,"2018-01-05 11:56:35",01-2018,"File Receive",F,329
103,49.45.132.3,"2018-01-05 11:56:53",01-2018,"Letter Attach To File",F,1319
6,117.248.150.254,"2018-01-05 11:57:00",01-2018,Login,U,6
53,115.187.63.117,"2018-01-05 11:57:19",01-2018,"File Dispatch",F,800
57,49.45.132.3,"2018-01-05 11:57:59",01-2018,"Letter Dispatch",L,20902
53,49.45.132.3,"2018-01-05 11:58:09",01-2018,"Log Out",U,53
98,49.45.132.3,"2018-01-05 11:58:19",01-2018,"Letter Attach To File",F,38
71,49.45.132.3,"2018-01-05 11:58:51",01-2018,Login,U,71
71,49.45.132.3,"2018-01-05 11:59:26",01-2018,"File Dispatch",F,826
58,117.223.219.18,"2018-01-05 11:59:54",01-2018,"File Receive",F,268
98,115.187.63.117,"2018-01-05 12:00:11",01-2018,"File Dispatch",F,34
7,117.248.151.45,"2018-01-05 12:00:40",01-2018,"File Dispatch",F,329
98,49.45.132.3,"2018-01-05 12:00:43",01-2018,"Letter Attach To File",F,38
71,49.45.132.3,"2018-01-05 12:01:08",01-2018,"File Receive",F,1532
58,117.223.219.18,"2018-01-05 12:02:31",01-2018,"File Dispatch",F,268
61,117.223.219.18,"2018-01-05 12:03:25",01-2018,"Log Out",U,61
71,115.187.63.117,"2018-01-05 12:04:04",01-2018,"File Dispatch",F,1532
59,117.223.219.18,"2018-01-05 12:04:36",01-2018,Login,U,59
98,49.45.132.3,"2018-01-05 12:04:41",01-2018,"Letter Attach To File",F,38
60,117.223.219.18,"2018-01-05 12:04:50",01-2018,"Letter Dispatch",L,21049
98,49.45.132.3,"2018-01-05 12:04:56",01-2018,"Add Notesheet",F,654
71,49.45.132.3,"2018-01-05 12:05:27",01-2018,"File Receive",F,2063
71,49.45.132.3,"2018-01-05 12:06:10",01-2018,"File Receive",F,800
98,49.45.132.3,"2018-01-05 12:06:26",01-2018,"Add Notesheet",F,654
71,49.45.132.3,"2018-01-05 12:07:02",01-2018,"File Dispatch",F,2063
59,117.223.219.18,"2018-01-05 12:07:36",01-2018,"File Receive",F,268
98,49.45.132.3,"2018-01-05 12:07:53",01-2018,"Add Notesheet",F,654
59,117.223.219.18,"2018-01-05 12:10:23",01-2018,"File Dispatch",F,268
98,49.45.132.3,"2018-01-05 12:10:43",01-2018,"Add Notesheet",F,654
98,49.45.132.3,"2018-01-05 12:11:18",01-2018,"File Receive",F,301
94,49.45.132.3,"2018-01-05 12:11:29",01-2018,Almirah,F,1095
64,49.45.132.3,"2018-01-05 12:11:48",01-2018,"File Receive",F,896
6,117.248.150.254,"2018-01-05 12:11:57",01-2018,"File Dispatch",F,622
6,117.248.150.254,"2018-01-05 12:12:39",01-2018,"Log Out",U,6
98,49.45.132.3,"2018-01-05 12:13:23",01-2018,Almirah,F,301
71,49.45.132.3,"2018-01-05 12:13:46",01-2018,"File Dispatch",F,800
132,115.187.63.117,"2018-01-05 12:14:05",01-2018,Login,U,132
98,115.187.63.117,"2018-01-05 12:14:05",01-2018,"Add Notesheet",F,654
94,49.45.132.3,"2018-01-05 12:14:17",01-2018,Almirah,F,1059
64,115.187.63.117,"2018-01-05 12:15:03",01-2018,"File Dispatch",F,896
57,49.45.132.3,"2018-01-05 12:16:10",01-2018,"File Receive",F,871
98,115.187.63.117,"2018-01-05 12:16:15",01-2018,"Add Notesheet",F,654
132,49.45.132.3,"2018-01-05 12:16:17",01-2018,"File Receive",F,452
60,117.223.219.18,"2018-01-05 12:17:32",01-2018,"File Receive",F,1555
59,117.223.219.18,"2018-01-05 12:17:50",01-2018,"Log Out",U,59
64,49.45.132.3,"2018-01-05 12:17:52",01-2018,"File Receive",F,2063
61,117.223.219.18,"2018-01-05 12:18:21",01-2018,Login,U,61
98,49.45.132.3,"2018-01-05 12:18:34",01-2018,"Add Notesheet",F,654
132,49.45.132.3,"2018-01-05 12:19:08",01-2018,"File Dispatch",F,452
60,117.223.219.18,"2018-01-05 12:19:19",01-2018,"File Dispatch",F,1555
64,115.187.63.117,"2018-01-05 12:20:24",01-2018,"File Dispatch",F,2063
71,49.45.132.3,"2018-01-05 12:20:29",01-2018,"Log Out",U,71
57,115.187.63.117,"2018-01-05 12:20:54",01-2018,"File Receive",F,824
133,49.45.132.3,"2018-01-05 12:22:50",01-2018,Login,U,133
57,49.45.132.3,"2018-01-05 12:23:42",01-2018,"File Receive",F,41
94,49.45.132.3,"2018-01-05 12:23:49",01-2018,Almirah,F,2112
98,49.45.132.3,"2018-01-05 12:24:44",01-2018,"File Receive",F,662
94,49.45.132.3,"2018-01-05 12:25:14",01-2018,"Log Out",U,94
71,49.45.132.3,"2018-01-05 12:25:49",01-2018,"Log Out",U,71
98,49.45.132.3,"2018-01-05 12:26:47",01-2018,Almirah,F,662
123,49.45.132.3,"2018-01-05 12:27:11",01-2018,Login,U,123
57,49.45.132.3,"2018-01-05 12:28:27",01-2018,"File Receive",F,2079
123,115.187.63.117,"2018-01-05 12:30:16",01-2018,"Letter Attach To File",F,1609
57,115.187.63.117,"2018-01-05 12:30:32",01-2018,"File Receive",F,927
98,59.90.250.144,"2018-01-05 12:31:58",01-2018,"Add Notesheet",F,447
57,49.45.132.3,"2018-01-05 12:32:36",01-2018,"File Receive",F,809
57,49.45.132.3,"2018-01-05 12:34:37",01-2018,"File Receive",F,535
12,49.45.132.3,"2018-01-05 12:34:38",01-2018,Login,U,12
123,49.45.132.3,"2018-01-05 12:34:53",01-2018,"File Dispatch",F,1609
64,115.187.63.117,"2018-01-05 12:37:26",01-2018,"File Receive",F,449
98,59.90.250.144,"2018-01-05 12:38:18",01-2018,"Add Notesheet",F,447
94,49.45.132.3,"2018-01-05 12:38:26",01-2018,Login,U,94
132,49.45.132.3,"2018-01-05 12:40:14",01-2018,"File Receive",F,564
103,49.45.132.3,"2018-01-05 12:40:52",01-2018,"Letter Attach To File",F,1319
64,115.187.63.117,"2018-01-05 12:41:03",01-2018,"File Dispatch",F,449
98,59.90.250.144,"2018-01-05 12:41:36",01-2018,"Add Notesheet",F,447
102,49.45.132.3,"2018-01-05 12:41:59",01-2018,Login,U,102
64,49.45.132.3,"2018-01-05 12:43:47",01-2018,"File Receive",F,542
12,49.45.132.3,"2018-01-05 12:43:58",01-2018,Login,U,12
132,49.45.132.3,"2018-01-05 12:44:26",01-2018,"File Dispatch",F,564
3,49.45.132.3,"2018-01-05 12:44:57",01-2018,Login,U,3
98,59.90.250.144,"2018-01-05 12:45:00",01-2018,"Add Notesheet",F,447
102,49.45.132.3,"2018-01-05 12:46:21",01-2018,"File Dispatch",F,570
61,117.223.219.18,"2018-01-05 12:46:43",01-2018,"File Receive",F,2106
94,49.45.132.3,"2018-01-05 12:47:36",01-2018,"Letter Attach To File",F,1650
61,117.223.219.18,"2018-01-05 12:48:57",01-2018,"File Dispatch",F,2106
98,49.45.132.3,"2018-01-05 12:49:57",01-2018,"Add Notesheet",F,654
98,49.45.132.3,"2018-01-05 12:51:22",01-2018,"Add Notesheet",F,654
3,49.45.132.3,"2018-01-05 12:51:24",01-2018,"File Receive",F,568
71,49.45.132.3,"2018-01-05 12:52:12",01-2018,"File Receive",F,1354
98,49.45.132.3,"2018-01-05 12:53:28",01-2018,"Add Notesheet",F,654
57,49.45.132.3,"2018-01-05 12:54:08",01-2018,"File Receive",F,2106
133,117.248.150.133,"2018-01-05 12:54:15",01-2018,Login,U,133
3,49.45.132.3,"2018-01-05 12:55:33",01-2018,Almirah,F,568
71,49.45.132.3,"2018-01-05 12:55:58",01-2018,"File Dispatch",F,1354
56,49.45.132.3,"2018-01-05 12:55:59",01-2018,"Letter Creation",L,21075
72,115.187.63.117,"2018-01-05 12:56:02",01-2018,Login,U,72
57,115.187.63.117,"2018-01-05 12:56:18",01-2018,"File Dispatch",F,2106
3,115.187.63.117,"2018-01-05 12:56:57",01-2018,"Log Out",U,3
94,49.45.132.3,"2018-01-05 12:57:59",01-2018,"Add Notesheet",F,1650
98,49.45.132.3,"2018-01-05 12:58:08",01-2018,"Add Notesheet",F,654
64,49.45.132.3,"2018-01-05 12:58:26",01-2018,"File Dispatch",F,542
98,59.90.250.144,"2018-01-05 12:59:03",01-2018,"Add Notesheet",F,447
72,49.45.132.3,"2018-01-05 12:59:28",01-2018,"File Receive",F,570
104,49.45.132.5,"2018-01-05 13:01:05",01-2018,Login,U,104
94,49.45.132.3,"2018-01-05 13:01:07",01-2018,"File Dispatch",F,1650
61,117.223.219.18,"2018-01-05 13:01:48",01-2018,"Log Out",U,61
98,49.45.132.3,"2018-01-05 13:02:08",01-2018,"Add Notesheet",F,654
98,115.187.63.117,"2018-01-05 13:04:14",01-2018,"Add Notesheet",F,654
58,117.223.219.18,"2018-01-05 13:04:28",01-2018,Login,U,58
72,115.187.63.117,"2018-01-05 13:05:04",01-2018,"File Dispatch",F,570
133,49.45.132.3,"2018-01-05 13:06:15",01-2018,"File Receive",F,2035
58,117.223.219.18,"2018-01-05 13:06:39",01-2018,"File Dispatch",F,2035
133,49.45.132.3,"2018-01-05 13:07:16",01-2018,"File Dispatch",F,2035
78,49.45.132.3,"2018-01-05 13:08:43",01-2018,Login,U,78
58,117.223.219.18,"2018-01-05 13:09:23",01-2018,"File Receive",F,2035
78,49.45.132.3,"2018-01-05 13:11:06",01-2018,"File Receive",F,2073
98,49.45.132.3,"2018-01-05 13:11:46",01-2018,"Add Notesheet",F,654
58,117.223.219.18,"2018-01-05 13:11:50",01-2018,"File Dispatch",F,2035
61,117.223.219.18,"2018-01-05 13:13:21",01-2018,Login,U,61
57,49.45.132.3,"2018-01-05 13:13:29",01-2018,"File Receive",F,1172
57,49.45.132.3,"2018-01-05 13:15:32",01-2018,"File Dispatch",F,1172
98,49.45.132.3,"2018-01-05 13:16:18",01-2018,"Add Notesheet",F,654
78,49.45.132.3,"2018-01-05 13:16:55",01-2018,"File Dispatch",F,2073
98,49.45.132.3,"2018-01-05 13:16:59",01-2018,"Add Notesheet",F,654
102,49.45.132.3,"2018-01-05 13:18:00",01-2018,Login,U,102
19,117.248.150.133,"2018-01-05 13:18:38",01-2018,"Log Out",U,19
60,117.248.150.133,"2018-01-05 13:19:03",01-2018,Login,U,60
61,117.223.219.18,"2018-01-05 13:21:43",01-2018,"Log Out",U,61
103,49.45.132.3,"2018-01-05 13:22:09",01-2018,"Letter Attach To File",F,1319
103,49.45.132.3,"2018-01-05 13:25:13",01-2018,"Letter Attach To File",F,1319
102,49.45.132.3,"2018-01-05 13:26:53",01-2018,"File Dispatch",F,1815
103,49.45.132.3,"2018-01-05 13:27:02",01-2018,"Letter Attach To File",F,1319
7,117.248.151.45,"2018-01-05 13:29:19",01-2018,"File Receive",F,200
58,117.223.219.18,"2018-01-05 13:29:45",01-2018,"Log Out",U,58
61,117.223.219.18,"2018-01-05 13:30:24",01-2018,Login,U,61
126,49.45.132.3,"2018-01-05 13:31:23",01-2018,Login,U,126
12,117.248.150.98,"2018-01-05 13:31:24",01-2018,"File Receive",F,896
103,117.248.150.98,"2018-01-05 13:32:38",01-2018,"Letter Attach To File",F,1319
61,117.223.219.18,"2018-01-05 13:34:01",01-2018,"File Receive",F,449
94,115.187.63.117,"2018-01-05 13:34:52",01-2018,Login,U,94
